依頼先,目的,概要,iOS,Android,チャット,カメラ,動画,プッシュ,地図,ジオフェンス,課金,クレジット決済,ユーザー管理,SNS連携,備考,連絡先
,bW9rdXRla2k=,Z2FpeW91,1,0,0,1,0,0,0,1,0,0,0,1,,ZW1haWxAZW1haWw=,all,,,1,1,0,0,0,0,0,0,0,0,0,0,,YQ==,jY,,,1,1,0,0,0,0,0,0,0,0,0,0,,YWJjZGVAbWFpbC5jb20=,
all,,,1,1,0,0,0,0,0,0,0,0,0,0,,aaa@aaa,
all,,,1,1,0,0,0,0,0,0,0,0,0,0,,ああ,
0,あああ,あああ,1,1,0,0,0,0,0,0,0,0,0,0,,あああ,
,,,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,1,1,1,1,1,1,1,1,1,1,1,1,,,
47,,Harry,0,1,0,1,0,0,1,0,0,0,0,0,Hi,giggles,
47,a,a,0,0,0,0,0,0,0,0,0,0,0,0,a,a,
47,a,a,0,0,0,0,0,0,0,0,0,0,0,0,a,a,
,a,a,0,0,0,0,0,0,0,0,0,0,0,0,a,a,
